Location_ID,Location_Name,Date_Early,Date_Mid,Date_Late,Latitude,Longitude,Region,Ocean_Basin,Ecosystem_Type,Climate_Zone
1,Eq_001,2003-01-15,2010-01-15,2025-01-15,-5.0,-82.5,Equatorial,Atlantic_Ocean,Tropical_Marine,Tropical
2,Ind_002,2003-01-15,2010-01-15,2025-01-15,2.5,97.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
3,ARC_003,2003-01-15,2010-01-15,2025-01-15,85.0,-150.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
4,ARC_004,2003-01-15,2010-01-15,2025-01-15,70.0,30.0,Arctic,Arctic_Ocean,Polar_Marine,Polar
5,ARC_005,2003-01-15,2010-01-15,2025-01-15,77.5,-127.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
6,SAtl_006,2003-01-15,2010-01-15,2025-01-15,-27.5,-75.0,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
7,SO_007,2003-01-15,2010-01-15,2025-01-15,-72.5,-112.5,Southern_Ocean,Southern_Ocean,Polar_Marine,Polar
8,NPac_008,2003-01-15,2010-01-15,2025-01-15,47.5,165.0,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
9,SO_009,2003-01-15,2010-01-15,2025-01-15,-65.0,-180.0,Southern_Ocean,Southern_Ocean,Subpolar_Marine,Temperate
10,NAtl_010,2003-01-15,2010-01-15,2025-01-15,32.5,-37.5,North_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
11,Ind_011,2003-01-15,2010-01-15,2025-01-15,10.0,82.5,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
12,Ind_012,2003-01-15,2010-01-15,2025-01-15,2.5,75.0,Indian_Ocean,Indian_Ocean,Tropical_Marine,Tropical
13,NPac_013,2003-01-15,2010-01-15,2025-01-15,55.0,-135.0,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
14,NPac_014,2003-01-15,2010-01-15,2025-01-15,25.0,-127.5,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
15,NPac_015,2003-01-15,2010-01-15,2025-01-15,47.5,-165.0,North_Pacific,Pacific_Ocean,Subpolar_Marine,Temperate
16,ARC_016,2003-01-15,2010-01-15,2025-01-15,85.0,82.5,Arctic,Arctic_Ocean,Polar_Marine,Polar
17,SPac_017,2003-01-15,2010-01-15,2025-01-15,-20.0,-180.0,South_Pacific,Pacific_Ocean,Tropical_Marine,Tropical
18,NAtl_018,2003-01-15,2010-01-15,2025-01-15,47.5,-37.5,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
19,NPac_019,2003-01-15,2010-01-15,2025-01-15,32.5,-135.0,North_Pacific,Pacific_Ocean,Temperate_Marine,Subtropical
20,SAtl_020,2003-01-15,2010-01-15,2025-01-15,-27.5,-22.5,South_Atlantic,Atlantic_Ocean,Temperate_Marine,Subtropical
21,Ind_021,2003-01-15,2010-01-15,2025-01-15,-27.5,37.5,Indian_Ocean,Indian_Ocean,Temperate_Marine,Subtropical
22,Eq_022,2003-01-15,2010-01-15,2025-01-15,-12.5,52.5,Equatorial,Indian_Ocean,Tropical_Marine,Tropical
23,NAtl_023,2003-01-15,2010-01-15,2025-01-15,55.0,-15.0,North_Atlantic,Atlantic_Ocean,Subpolar_Marine,Temperate
